id,titulo,autor,anio,protegida_en,motivos
853,Las Larvas,Emilio Bobadilla,s. f.,,falta año de muerte del autor
850,En la Noche Dormida,Emilio Bobadilla,s. f.,,falta año de muerte del autor
851,Novelas en Germen,Emilio Bobadilla,s. f.,,falta año de muerte del autor
837,El Clis de Sol,Manuel González Zeledón,s. f.,,falta año de muerte del autor
844,El Amor que Dormía,José de la Cuadra,s. f.,,falta año de muerte del autor
845,Calor de Yunca,José de la Cuadra,s. f.,,falta año de muerte del autor
840,Incomprensión,José de la Cuadra,s. f.,,falta año de muerte del autor
843,"Maruja: Rosa, Fruta, Canción...",José de la Cuadra,s. f.,,falta año de muerte del autor
846,Olga Catalina,José de la Cuadra,s. f.,,falta año de muerte del autor
841,El Sacristán,José de la Cuadra,s. f.,,falta año de muerte del autor
847,Sangre Expiatoria,José de la Cuadra,s. f.,,falta año de muerte del autor
842,Perico Paciencia,Manuel A. Alonso,s. f.,,falta año de muerte del autor
903,Corona Patriótica,Ricardo Palma,1853,,falta año de muerte del autor
908,Una Excomunión Famosa,Ricardo Palma,s. f.,,falta año de muerte del autor
905,El Fraile y la Monja del Callao,Ricardo Palma,s. f.,,falta año de muerte del autor
904,La Gatita de Mari-Ramos que Halaga con la Cola y Araña con las Manos,Ricardo Palma,s. f.,,falta año de muerte del autor
900,Las Mejores Tradiciones Peruanas,Ricardo Palma,s. f.,,falta año de muerte del autor
907,Nadie se Muere Hasta que Dios Quiere,Ricardo Palma,s. f.,,falta año de muerte del autor
906,El Rey del Monte,Ricardo Palma,s. f.,,falta año de muerte del autor
901,Tradiciones Peruanas,Ricardo Palma,1872,,falta año de muerte del autor
902,Tradiciones en Salsa Verde,Ricardo Palma,1901,,falta año de muerte del autor
910,El Artista Barquero,Gertrudis Gómez de Avellaneda,1861,,falta año de muerte del autor
912,Dolores,Gertrudis Gómez de Avellaneda,1851,,falta año de muerte del autor
913,La Velada del Helecho,Gertrudis Gómez de Avellaneda,1857,,falta año de muerte del autor
920,Prosas dispersas,César Vallejo,s. f.,MX(hasta 2038),año de muerte sin verificar
917,Escalas,César Vallejo,1923,MX(hasta 2038),año de muerte sin verificar
918,Fabla Salvaje,César Vallejo,1923,MX(hasta 2038),año de muerte sin verificar
919,Hacia el Reino de los Sciris,César Vallejo,1928,MX(hasta 2038),año de muerte sin verificar
916,Rusia en 1931,César Vallejo,1931,MX(hasta 2038),año de muerte sin verificar
922,Cuatro Conferencias sobre América del Sur,Clorinda Matto de Turner,1909,,falta año de muerte del autor
950,Prehistoria de Puerto Rico,Cayetano Coll y Toste,1907,,falta año de muerte del autor
951,Quilito,Carlos María Ocantos,1891,,falta año de muerte del autor
952,Cuentos Populares en Chile,Ramón A. Laval,1923,MX(hasta 2029),año de muerte sin verificar
953,Cuentos Chilenos de Nunca Acabar,Ramón A. Laval,1925,MX(hasta 2029),año de muerte sin verificar
955,Colón en Puerto Rico,Cayetano Coll y Toste,1893,,falta año de muerte del autor
954,Historia de la Instrucción Pública en Puerto Rico,Cayetano Coll y Toste,1910,,falta año de muerte del autor
962,En Viaje (1881-1882),Miguel Cané,1884,,falta año de muerte del autor
964,"Una Excursión a los Indios Ranqueles, tomo II",Lucio V. Mansilla,1870,,falta año de muerte del autor
963,"Una Excursión a los Indios Ranqueles, tomo I",Lucio V. Mansilla,1870,,falta año de muerte del autor
967,Reglas y Consejos sobre Investigación Científica,Santiago Ramón y Cajal,1898,MX(hasta 2034),año de muerte sin verificar
968,"Recuerdos de mi Vida, tomo I",Santiago Ramón y Cajal,1901,MX(hasta 2034),año de muerte sin verificar
969,"Recuerdos de mi Vida, tomo II",Santiago Ramón y Cajal,1917,MX(hasta 2034),año de muerte sin verificar
971,Antología Portorriqueña,Manuel Fernández Juncos,1913,,falta año de muerte del autor
975,El origen del hombre,Charles Darwin,1871,,año de muerte sin verificar
976,Historia General de la Medicina en Chile,Pedro Lautaro Ferrer,1904,,falta año de muerte del autor
979,El Tamaño del Espacio,Leopoldo Lugones,1921,MX(hasta 2038),año de muerte sin verificar
959,"Escritos Políticos, Económicos y Literarios",Florencio Varela,1859,,falta año de muerte del autor
958,"Viaje a los Estados Unidos, tomo III",Guillermo Prieto,1878,,falta año de muerte del autor
957,"Viaje a los Estados Unidos, tomo II",Guillermo Prieto,1877,,falta año de muerte del autor
956,"Viaje a los Estados Unidos, tomo I",Guillermo Prieto,1877,,falta año de muerte del autor
960,Del Plata al Niágara,Paul Groussac,1897,,falta año de muerte del autor
980,Juvenilia,Miguel Cané,1884,,falta año de muerte del autor
984,Moral Social,Eugenio María de Hostos,1888,,falta año de muerte del autor
985,La Gran Aldea,Lucio Vicente López,1884,,falta año de muerte del autor
986,El Corazón Juglar,Luis G. Urbina,1920,MX(hasta 2034),año de muerte sin verificar
987,Estampas de Viaje,Luis G. Urbina,1920,MX(hasta 2034),año de muerte sin verificar
988,Rimas,Bartolomé Mitre,1854,,falta año de muerte del autor
989,Nuevas Poesías y Evangélicas,Almafuerte,1918,,año de muerte sin verificar
997,Poetas de Color,Francisco Calcagno,1878,,falta año de muerte del autor
990,Exploración Arqueológica de la Provincia de Catamarca,Francisco Pascasio Moreno,1890,,falta año de muerte del autor
992,Estudios Americanos,Martín García Mérou,1900,,falta año de muerte del autor
996,Historia de la Conquista de la Habana (1762),Pedro José Guiteras,1856,,falta año de muerte del autor
994,Lo Que Dice la Historia,Salvador Brau,1893,,falta año de muerte del autor
995,Rafael Cordero: Elogio Póstumo,Salvador Brau,1891,,falta año de muerte del autor
993,A Flor de Piel,Gustavo Sánchez Galarraga,1919,MX(hasta 2036),año de muerte sin verificar
991,El Campesino Puertorriqueño,Francisco del Valle Atiles,1887,,falta año de muerte del autor
998,Comentarios del Pueblo Araucano,Manuel Manquilef,1911,,falta año de muerte del autor
999,Lecturas Araucanas,Félix José de Augusta,1910,,falta año de muerte del autor
1000,Las maravillas del cielo,Roque Gálvez y Encinar,1876,,falta año de muerte del autor
1001,SciELO — Scientific Electronic Library Online,Red SciELO,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1002,Redalyc — Red de Revistas Científicas de América Latina y el Caribe,Universidad Autónoma del Estado de México,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1003,La Referencia — Red Federada de Repositorios Institucionales,LA Referencia,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1004,Portal de Repositorios Latinoamericanos,Universidad de Chile,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1005,Latindex — Sistema Regional de Información en Línea,Universidad Nacional Autónoma de México,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1006,Biblioteca CLACSO,Consejo Latinoamericano de Ciencias Sociales,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1007,DOAJ — Directory of Open Access Journals,DOAJ,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1008,Repositorio Nacional CONAHCYT,"Consejo Nacional de Humanidades, Ciencias y Tecnologías",,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1009,SNRD — Sistema Nacional de Repositorios Digitales,"Ministerio de Ciencia, Tecnología e Innovación",,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1010,SciELO Chile,"Programa de Información Científica, ANID",,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1011,SciELO México,Universidad Nacional Autónoma de México,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1012,SciELO Argentina,CAICYT-CONICET,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1013,SciELO Colombia,Universidad Nacional de Colombia,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1014,Memoria Chilena,Biblioteca Nacional de Chile,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1015,Biblioteca Digital Mundial,UNESCO y Biblioteca del Congreso,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1016,Biblioteca Digital del Patrimonio Iberoamericano,Asociación de Bibliotecas Nacionales de Iberoamérica,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
1017,Biblioteca Digital Hispánica,Biblioteca Nacional de España,,,no es dominio público sino 'Acceso abierto': revisar licencia y atribución | falta año de muerte del autor
