id,titulo,autor,anio,anio_muerte,tipo,accion,ES,ES_libre_en,DE,DE_libre_en,MX,MX_libre_en,CL,CL_libre_en,AR,AR_libre_en,UY,UY_libre_en,US,US_libre_en,PR,PR_libre_en,CO,CO_libre_en,PE,PE_libre_en,EC,EC_libre_en,VE,VE_libre_en,NI,NI_libre_en,PY,PY_libre_en,CR,CR_libre_en,GB,GB_libre_en,CU,CU_libre_en,BO,BO_libre_en,SV,SV_libre_en,FR,FR_libre_en
228,Los Astros del Abismo,Delmira Agustini,1924,1914,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
229,Antología,Delmira Agustini,1965,1914,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
230,Languidez: versos,Alfonsina Storni,1920,1938,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2039,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
231,El dulce daño,Alfonsina Storni,1918,1938,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2039,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
232,Poemas de amor,Alfonsina Storni,1926,1938,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2039,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
234,Sangre y arena,Vicente Blasco Ibáñez,1908,1928,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2029,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
235,La reina Calafia,Vicente Blasco Ibáñez,1923,1928,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2029,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
236,Los cuatro jinetes del Apocalipsis,Vicente Blasco Ibáñez,1919,1928,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2029,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
237,Argentina y sus grandezas,Vicente Blasco Ibáñez,1910,1928,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2029,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
238,El intruso,Vicente Blasco Ibáñez,1924,1928,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2029,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
